type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Bande dessinée jeunesse,886,Le tour de Gaule d'Astérix,"Goscinny,  René",50,3990,71
Bande dessinée jeunesse,824,Cocon familial,Nob,46,1163,55
Bande dessinée jeunesse,666,Lili rêve d'être une femme,"Saint-Mars,  Dominique de",33,3186,54
Bande dessinée jeunesse,596,Naruto. 65,"Kishimoto,  Masashi",47,3159,56
Bande dessinée jeunesse,1180,Astérix et le griffon,"Ferri,  Jean-Yves",63,1758,97
Bande dessinée jeunesse,926,Journal infime,"Neel,  Julien",52,5237,88
Bande dessinée jeunesse,883,Dark web,Midam,47,2911,60
Musique jeunesse,862,Coco et le chaton : une histoire mise en musique,"Du Bouchet,  Paule",47,1755,88
Bande dessinée jeunesse,585,The promised Neverland. 16,"Shirai,  Kaiu",52,1358,55
Bande dessinée jeunesse,1213,Le roi du chahut,"Didier,  Anne",44,3825,74
Bande dessinée jeunesse,739,Subliiiimes !,"Cohen,  Jacqueline",32,5007,56
Bande dessinée jeunesse,736,L'île noire,Hergé,58,5075,74
Bande dessinée jeunesse,650,Seuls. 2. Le maître des couteaux,"Gazzotti,  Bruno",52,4806,68
Bande dessinée jeunesse,548,The promised Neverland. 15,"Shirai,  Kaiu",52,1290,56
Bande dessinée jeunesse,793,Il me fait confiance,"Lyfoung,  Patricia",51,1988,63
Bande dessinée jeunesse,736,Le cousin de Max et Lili se drogue,"Saint-Mars,  Dominique de",38,3319,58
Bande dessinée jeunesse,594,Le zoo pétrifié,"Chamblain,  Joris",54,2538,68
Bande dessinée jeunesse,710,Naruto. 9,"Kishimoto,  Masashi",44,4212,65
Bande dessinée jeunesse,839,Je crois que je t'aime,"Lyfoung,  Patricia",52,3878,70
Bande dessinée jeunesse,585,Tomura Shigaraki : les origines,"Horikoshi,  K?hei",48,1275,54
Bande dessinée jeunesse,554,Devoir surveillé,Erroc,27,3061,39
Bande dessinée jeunesse,1194,Ca déménage !,"Didier,  Anne",50,5181,81
Bande dessinée jeunesse,627,L'oeuf et les schtroumpfs,Peyo,35,3806,47
Bande dessinée jeunesse,555,Fairy Tail. 3,"Mashima,  Hiro",41,3421,51
Bande dessinée jeunesse,646,Les Schtroumpfs et le dragon du lac,"Jost,  Alain",37,1766,44
Bande dessinée jeunesse,630,Le secret de la Licorne,Hergé,59,5603,84
Livre jeunesse,556,Un peu perdu,"Haughton,  Chris",49,2772,87
Bande dessinée jeunesse,717,Envie,"Sobral,  Patrick",46,1103,52
Bande dessinée jeunesse,712,Max adore jouer,"Saint-Mars,  Dominique de",38,3736,66
